,label,text
0,0,woman complain cleaning house amp man always take trash
1,0,boy dats cold tyga dwn bad cuffin dat hoe st place
2,0,dawg ever fuck bitch start cry confused shit
3,0,look like tranny
4,0,shit hear might true might faker bitch told ya
5,0,shit blows claim faithful somebody still fucking hoes
6,0,sit hate another bitch got much shit going
7,0,cause tired big bitches coming us skinny girls
8,0,amp might get ya bitch back amp thats
9,0,hobbies include fighting mariam bitch
10,0,keeks bitch curves everyone lol walked conversation like smh
11,0,murda gang bitch gang land
12,0,hoes smoke losers yea go ig
13,0,bad bitches thing like
14,0,bitch get
15,0,bitch nigga miss
16,0,bitch plz whatever
17,0,bitch love
18,0,bitches get cut everyday b
19,0,black bottle amp bad bitch
20,0,broke bitch cant tell nothing
21,0,cancel bitch like nino
22,0,cant see hoes wont change
23,0,fuck bitch dont even suck dick kermit videos bout fuck ig
24,0,got ya bitch tip toeing hardwood floors
25,0,pussy lips like heaven doors
26,0,hoe hitting
27,0,met pussy ocean dr gave pussy pill
28,0,need trippy bitch fuck hennessy
29,0,spend money want bitch business
30,0,txt old bitch new bitch pussy wetter
31,0,say im back old old bitches would get excited
32,0,aint bout murder game pussy nigga shut
33,0,toes done pussy stinks
34,0,im done bitter bitches wrap angry bird theres app
35,0,ya bitch
36,0,aint nothing cut bitch
37,0,jus meet son ya mane ass bitches shots
38,0,lames crying hoes thats tears clown
39,0,like snoop said dont love hoes
40,0,momma said pussy cats inside doghouse
41,0,hated hoes favorite mw sevenone
42,0,nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick
43,0,pimps pimps hoes future voice
44,0,post picture pussy get likes
45,0,pussy powerful drug happyhumpday
46,0,quick piece pussy call drive
47,0,running round like brand new pussy thats bout get fucked
48,0,bitches even worst send guys
49,0,hoes like niggas spend money talk bout
50,0,dont trust niggas bitches
51,0,yall niggas b cuffing hoes cause yall aint never bitches
52,0,dodge bullet da bitches cut pregnant bound thank god
53,0,young pill chamberlain bitches love music
54,0,teanna trump probably cleaner twitter hoes
55,0,gay niggas wait act like bitches tonight
56,0,ima steal cat n replace pitbull bitch
57,0,amp gone always hoe
58,0,son bitch took tic tacs like movie
59,0,wanna get money fuck model bitches russell simmons
60,0,probably mind school much deal bitch ass teachers retweet
61,0,fucking fag said
62,0,females think dating pussy cute stuff make pussy
63,0,simplyaddictedtoguys woof woof hot scally lad
64,0,ya ever asked bitch bitches kanye voice yes
65,0,u gone bring ur side bitch game know ya gf friends swear
66,0,woof woof hot soles
67,0,lemmie eat oreo amp dishes one oreo lol
68,0,bitch fuck u maybe get better
69,0,fuck red malone man bitch ass niggah could please use complete sentences
70,0,eggplant emoji doe say looked like scream lmao
71,0,hennessey venom gt one sexy bitch
72,0,seh pussy wetter shower curtain ahmesehwetness lt lmao
73,0,eaglesnation every eagles need see pic posted bitch said racist shit
74,0,yo fuck skateboarding wood pushing faggots man ball life
75,0,baby monkey bathtime awwwwe soooo adorable
76,0,shit damn skippy lol
77,0,u ever kill ant sidewalk think damn nigga way get pussy bs must b gt chance
78,0,rings mvps bitches lol
79,0,ppl talk bad ghetto hood kid growing nigga funnnnnnn
80,0,facts tattoos tattoo pussy tattooing nipples
81,0,bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches
82,0,get worshiping bitch woof woof
83,0,wow lost buttcheek piercings yeah hoe
84,0,ok sis rather broke bitch shrugs tell works
85,1,queer gaywad
86,0,faggot read tweets dat k even funny lol
87,0,bitch ungrateful fr lulwhore
88,0,kidnapped yo bitch
89,1,alsarabsss hes beaner smh tell hes mexican
90,0,happy birthday nigs thanks yo
91,0,ur teacher tells u u homework bitch need go
92,0,nigga eating hoe lol hell yea lol john paul nigga said john paul
93,0,would lil ugly bald headed bitches stop making make amp weave
94,0,leafs better win damn game go riot shit earlychristmas better start looting nig
95,0,going back school sucks dick hoes attend
96,0,way fuck yo bitch year old
97,0,come never bring food dont car retard
98,0,richnow show hella tinder hoes im friend anymore chill brought like like prople
99,0,bout cowboys shutup pussy
100,0,lmaooooooooooo nigga lt bitch want likes depressing shit foh
101,0,girl know spitting g shit amp going lbvs bitch plz
102,0,let make couple tweets cuzzo page get twitter jail lmao bitch trick
103,0,harlem shake excuse go full retard seconds
104,0,amen miley okay need act like hoe bc emotionally damaged foh
105,0,one loyal female wayyyyy better hoes idc
106,0,pussy licking pussy meow meow stopwhitepeople
107,0,check th man cowboysnation even faggot ny fans stands
108,0,happen vixen ent bitches got ran threw side like foothill bitch
109,0,im bitch okay nudes pat wow
110,1,fucking gay blacklisted hoe holding tehgodclan anyway
111,0,fuck wrong bitches nobody knows
112,0,yall shut p make bitch
113,0,hate pregnant type bitch
114,0,got bitches dm ever read em top
115,0,baseball season win yankees love started
116,0,little stupid bitch fuck yoooooouuuu
117,0,really asked dead ass serious tho could say bitch wheet lol
118,0,early bird night owl wise worms
119,0,overdosing heavy drugs sound bad tonight pussy shit every day
120,0,pit bulls photographed lovely fairy tale creatures fairy tale creatures
121,0,aw fag tweet aw lol
122,0,long lakers trash could careless real cc hahaha
123,0,say anything tho kiss faggot
124,0,play soccer cheat girls wear khaki coloured cargos haircut yup
125,0,could go fat ass bitch lap
126,0,missed calls das yo p bitch twitter finna screamn freemoneymelle
127,0,ya side bitch gotta know rules shit anybody ask cousin jersey thinkin bout moving lmmfao
128,0,amo los pies fuck yeah
129,0,hoes thinking meat slap ass ainna bruh
130,0,yall bitches wit edges talking
131,0,yall still going trick treating year nah hell yeah ima da sweet tooth bandit steal bitches bags n shit
132,0,wanna sex mom fuck right pussy came damn got hacked like fuck
133,0,kiss u eyes open watch bitch lmfao
134,0,woulda coulda shoulda ass hoe
135,0,happy bday bitch ass nigga preciate bitch roll
136,0,used send bitch
137,0,ugly bitches like wcw duh bitch nobody elses
138,0,nigga know hacky sack hoes nah throw look passes lmao
139,0,glad getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em
140,0,ghetto smart idc
141,0,would wife hoe cuz care cheating force relationship first place
142,0,single excuse hoe
143,0,white boy power bitch black power bitch
144,0,lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill
145,0,bitch u around world back
146,0,get dick sucked yo party bad bitch fr gone set
147,0,oomf soooo cute probably hoes lot
148,0,every cartoon alway saving hoes lmao lmao damn captain saveahoe
149,0,wants get nose bad bois scally chav sockfetish stinking hot sox legs
150,0,wish bitch like brother keezy ooooow bet
151,0,dressed cat halloween basic pussy
152,0,pornhub get gaming stream feature dumb bitches gtfo get katie lt
153,0,stop scared choke sex u bitch ass niggas like says guy hits women bed foh
154,0,ha well iguess make hoes loyal bro theyll never loyal hoes nig
155,0,oh man molly ho fuck ya seed fixed
156,0,man refer every girl bitch
157,0,lmfao cat started beating shit nigga finally got pussy nigga
158,0,peel peel bring back rewind back move shaq line ooooow tf said trash
159,0,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
160,0,naw old tape new cover upcoming mixtape kingofthehill yeah waiting hoe mayne
161,0,ol dirty foot ass bitches funny
162,0,get yellow flags amazing hell yeah niggy
163,0,got time bitches actin iffy
164,0,ucfpinkparty come stay alive knights nation still early bird special comeatmeut
165,0,hoes loyal smfh amp wonder nobody decent wants
166,0,bruh studs keep thinking soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe
167,0,dry pussy bitches always blame condom
168,0,shut yo bitch ass
169,0,gucci mane jail dropping mixtapes every month hoes even text back
170,0,love hoes money wats wrong niggas
